run,algorithm,dataset,r2_test,mse_train,mse_test,hypervolume,size,size_mse
13,PySIPS,1028_SWD,0.3690653103504553,0.379204610940578,0.4013461311626904,14.544713442402113,43.0,43.0
14,PySIPS,1028_SWD,0.3802039141738291,0.3978951126429786,0.3980038044053531,17.386224108431588,32.0,32.0
15,PySIPS,1028_SWD,0.3624959459229501,0.3772635639065058,0.4420773182399412,15.355853063375108,35.0,35.0
16,PySIPS,1028_SWD,0.3543726063720304,0.3793011537222477,0.4106923598529134,16.438351127056286,21.0,21.0
17,PySIPS,1028_SWD,0.3958933962162922,0.395182368504262,0.387928759265747,16.409009159213102,16.0,16.0
18,PySIPS,1028_SWD,0.3879721693991618,0.3678639328540027,0.4244108257977081,15.40165767790706,31.0,31.0
19,PySIPS,1028_SWD,0.371335740263541,0.3783457297742437,0.3999018798374081,16.403700341146333,24.0,24.0
20,PySIPS,1028_SWD,0.3849412988416093,0.3870860644999753,0.3949616794810003,16.0412527578185,28.0,28.0
21,PySIPS,1028_SWD,0.3998773006107959,0.3703100574623778,0.4161552100950701,14.072460605370093,31.0,31.0
22,PySIPS,1028_SWD,0.3581929861866706,0.3908555816082308,0.4082621643297768,16.075846691235732,28.0,28.0
23,PySIPS,1028_SWD,0.3901486256692527,0.3927190099005431,0.3916177798734035,16.37871238701417,30.0,30.0
24,PySIPS,1028_SWD,0.373221621512763,0.3775606005744744,0.4346395962823596,14.803716858523726,18.0,18.0
25,PySIPS,1028_SWD,0.3332013436593831,0.3886168843244101,0.4241596878045111,14.001224660563626,30.0,30.0
26,PySIPS,1028_SWD,0.4134759267282444,0.3915358907394604,0.376638087712857,15.411732284374967,25.0,25.0
27,PySIPS,1028_SWD,0.3980213600059656,0.3781562144760261,0.4174422124916021,12.914161093144774,31.0,31.0
28,PySIPS,1028_SWD,0.3918826924797398,0.3812425471258066,0.386831684277648,14.78954229975176,25.0,25.0
29,PySIPS,1028_SWD,0.4138269201873761,0.3864810880620713,0.376412696273236,14.87564103209407,30.0,30.0
0,Operon,1028_SWD,0.401658813248502,0.3562650889357061,0.4149198197877444,16.797889387420383,47.0,47.0
1,Operon,1028_SWD,0.3815822167750426,0.3620108473648664,0.3933839568678772,17.014671608211355,50.0,50.0
2,Operon,1028_SWD,0.4067229197688249,0.3713192710620713,0.3809745501760591,16.527028978825385,49.0,49.0
3,Operon,1028_SWD,0.3971288569182356,0.3567965165736818,0.4180611189425043,16.865522349586065,48.0,48.0
4,Operon,1028_SWD,0.3511457199736311,0.3585403650381914,0.4127450261477695,17.07295009402251,50.0,50.0
5,Operon,1028_SWD,0.4195080454635449,0.3707738021034367,0.3727645456557558,16.479950139805705,50.0,50.0
6,Operon,1028_SWD,0.3980164664689508,0.3534237892910885,0.4174456059158578,16.997426134708302,49.0,49.0
7,Operon,1028_SWD,0.3648112178168239,0.3577039806592411,0.4040522172409966,16.903537119968615,50.0,50.0
8,Operon,1028_SWD,0.3973666043848395,0.3715667397129345,0.3869827344857079,16.591560418106333,49.0,49.0
9,Operon,1028_SWD,0.3988391591035406,0.3544475255968165,0.416875109538134,17.021601355204815,48.0,48.0
10,Operon,1028_SWD,0.369419822609789,0.3623984813687197,0.4011206210963278,17.1014490037404,48.0,48.0
11,Operon,1028_SWD,0.4094867318244348,0.3710755886337296,0.3791997604702999,16.472579570914057,50.0,50.0
12,Operon,1028_SWD,0.3992222056908521,0.3551774655005826,0.4166094858028861,16.933912465959768,50.0,50.0
13,Operon,1028_SWD,0.3741908520739434,0.363966725150788,0.3980857044107908,16.990324841055443,48.0,48.0
14,Operon,1028_SWD,0.4226186877529579,0.3677587980810879,0.370767037937261,16.666011492876624,49.0,49.0
15,Operon,1028_SWD,0.4114133915240193,0.354624591827095,0.4081555054637431,16.844873360573594,48.0,48.0
16,Operon,1028_SWD,0.3672505978196503,0.3630707561877545,0.4025004944674179,16.917118524245453,50.0,50.0
17,Operon,1028_SWD,0.3872726705400342,0.3711290962657322,0.393464582570136,16.437935608510113,49.0,49.0
18,Operon,1028_SWD,0.3946334552791459,0.3525573400200096,0.4197915557255886,16.838471914166725,50.0,50.0
19,Operon,1028_SWD,0.3755611613675553,0.3622575276163748,0.3972140320451566,16.884941446105504,50.0,50.0
20,Operon,1028_SWD,0.4198882187949899,0.3682864121164426,0.3725204162788384,16.421628457268692,49.0,49.0
21,Operon,1028_SWD,0.3804771523353946,0.3493238893381502,0.4296082469317742,17.092343520535938,50.0,50.0
22,Operon,1028_SWD,0.3863458014386234,0.3600243787745621,0.3903537759211678,17.002265466905,49.0,49.0
23,Operon,1028_SWD,0.3971917928705807,0.3720462414762766,0.3870949901925766,16.580329963815803,49.0,49.0
24,Operon,1028_SWD,0.4102408003727299,0.3560638570638755,0.4089686390402886,16.90072582722874,49.0,49.0
25,Operon,1028_SWD,0.3541132833107814,0.359529483711143,0.4108573187766515,17.140113936065664,50.0,50.0
26,Operon,1028_SWD,0.3955543751379778,0.3629785204145094,0.3881464626072627,16.77584322227838,49.0,49.0
27,Operon,1028_SWD,0.3944086558815243,0.3539656855230533,0.4199474429143947,17.061067949574916,46.0,46.0
28,Operon,1028_SWD,0.3624910360401044,0.3594703922870869,0.4055281164029174,17.008959163256904,48.0,48.0
29,Operon,1028_SWD,0.3786607457400095,0.3699119756504583,0.3989947543670324,16.41385934209245,48.0,48.0
0,QLattice,1028_SWD,0.3903686086695866,0.3732571087361998,0.422749014489656,9.558580627731535,32.0,32.0
1,QLattice,1028_SWD,0.3635462866561142,0.3880564328931282,0.4048568571440902,10.452516170083676,28.0,28.0
2,QLattice,1028_SWD,0.3720751521243778,0.3937245326948893,0.4032237118793975,10.150290623060569,30.0,30.0
3,QLattice,1028_SWD,0.3860113623485643,0.3730296395958282,0.4257705478527608,10.806210883128294,32.0,32.0
4,QLattice,1028_SWD,0.3696518878538091,0.3867439753367612,0.4009730012405921,10.473013050344491,31.0,31.0
5,QLattice,1028_SWD,0.36942039122685,0.3934349635315176,0.4049284740764581,9.76421074979477,29.0,29.0
6,QLattice,1028_SWD,0.3919533111586667,0.3677192254199173,0.4216501022206275,10.970746467533246,29.0,29.0
7,QLattice,1028_SWD,0.3730914259628257,0.3874173220806505,0.3987850643024483,10.900160428391317,26.0,26.0
8,QLattice,1028_SWD,0.3689811367279907,0.3944877778301326,0.4052105425916459,9.352742594723804,27.0,27.0
9,QLattice,1028_SWD,0.3818496238288154,0.3738174318793399,0.4286565062906096,12.00641256162684,27.0,27.0
10,QLattice,1028_SWD,0.3781555510468297,0.3909346996376735,0.3955637055096423,9.950579569624018,27.0,27.0
11,QLattice,1028_SWD,0.3312731519163556,0.3931453014310218,0.4294248313790378,9.391816795897016,28.0,28.0
12,QLattice,1028_SWD,0.3869778134715836,0.3716665123379635,0.4251003621214828,9.630699744876088,27.0,27.0
13,QLattice,1028_SWD,0.367206292777695,0.3884613145611618,0.4025286775067585,10.039930873095116,26.0,26.0
14,QLattice,1028_SWD,0.3648256801075968,0.3938781227705196,0.4078789807792694,8.948093850335734,32.0,32.0
15,QLattice,1028_SWD,0.3829144823462673,0.3733804644014182,0.4279180799312955,11.194072577772278,29.0,29.0
16,QLattice,1028_SWD,0.3740128573636092,0.3891766553180809,0.3981989292651727,10.014223792257056,26.0,26.0
17,QLattice,1028_SWD,0.3682019241900496,0.3943677334523928,0.4057109161203485,9.356895515587622,27.0,27.0
18,QLattice,1028_SWD,0.3887421019172048,0.3734136646494033,0.4238769159337231,9.565825704289436,28.0,28.0
19,QLattice,1028_SWD,0.369345493466569,0.3865199432411098,0.4011679028745426,10.46567331026816,31.0,31.0
20,QLattice,1028_SWD,0.3401252758129617,0.3953341747963815,0.4237404150548842,11.294322611276879,30.0,30.0
21,QLattice,1028_SWD,0.3958206290856266,0.3731090911931439,0.4189683098037827,11.210391463909287,28.0,28.0
22,QLattice,1028_SWD,0.372626930605631,0.3870549670731099,0.3990805361121482,10.090470546966715,26.0,26.0
23,QLattice,1028_SWD,0.3389864048544746,0.3948692857869146,0.4244717442526162,10.139798365411396,29.0,29.0
24,QLattice,1028_SWD,0.385634156992917,0.3708893940970005,0.4260321209847023,9.64136777524374,31.0,31.0
25,QLattice,1028_SWD,0.375071093113495,0.3889704130342476,0.3975257711221157,10.018065318222538,27.0,27.0
26,QLattice,1028_SWD,0.3687749687266893,0.3966330812329949,0.4053429339550977,9.27064181135378,28.0,28.0
27,QLattice,1028_SWD,0.3852817934755504,0.3743803418832197,0.4262764675387466,11.155938110108298,31.0,31.0
28,QLattice,1028_SWD,0.3721323644970181,0.3868446535547641,0.3993951363355187,10.088514578564183,28.0,28.0
29,QLattice,1028_SWD,0.348429753195342,0.3893474860953567,0.4184076714842633,10.255513188358702,32.0,32.0
0,GPGOMEA,1028_SWD,0.3853791330902606,0.3486589400062169,0.4262089673627801,0.0,57.0,57.0
1,GPGOMEA,1028_SWD,0.3671028368722092,0.3505186327496309,0.4025944872143144,0.0,72.0,72.0
2,GPGOMEA,1028_SWD,0.3855779839704243,0.3593152550224865,0.3945528303300107,0.0,58.0,58.0
3,GPGOMEA,1028_SWD,0.4141589271142349,0.3441194326091041,0.4062516132404818,0.0,70.0,70.0
4,GPGOMEA,1028_SWD,0.3555864664311615,0.3497801942781655,0.4099202069716449,0.0,62.0,62.0
5,GPGOMEA,1028_SWD,0.3925813206691795,0.3613313658093148,0.3900556179187373,0.0,60.0,60.0
6,GPGOMEA,1028_SWD,0.3959970090674974,0.3422403007906223,0.4188459990688501,0.0,71.0,71.0
7,GPGOMEA,1028_SWD,0.3307233281686633,0.3481223935638692,0.4257359871370363,0.4787326630510974,49.0,49.0
8,GPGOMEA,1028_SWD,0.4207383050513554,0.3602040995388588,0.3719745309919779,0.0,62.0,62.0
9,GPGOMEA,1028_SWD,0.4019957784571137,0.3404934063295547,0.414686151194093,0.0,60.0,60.0
10,GPGOMEA,1028_SWD,0.373818132781251,0.3511008563681655,0.3983227962185259,0.0,62.0,62.0
11,GPGOMEA,1028_SWD,0.4023809991332681,0.3607273196406644,0.3837627267568683,0.0,64.0,64.0
12,GPGOMEA,1028_SWD,0.3983084263259756,0.3393369993067754,0.4172431462925789,0.0,58.0,58.0
13,GPGOMEA,1028_SWD,0.3377492387160083,0.3487413355884916,0.4212667099482383,0.0,56.0,56.0
14,GPGOMEA,1028_SWD,0.4282822281956943,0.3593347118216583,0.3671301794701606,0.0,61.0,61.0
15,GPGOMEA,1028_SWD,0.3735825129600298,0.3441289517010326,0.434389336033561,0.0,58.0,58.0
16,GPGOMEA,1028_SWD,0.3716573136725827,0.3519014614200684,0.3996973226213904,0.0,59.0,59.0
17,GPGOMEA,1028_SWD,0.3860589834436672,0.3607445171973955,0.3942439551617972,0.0,68.0,68.0
18,GPGOMEA,1028_SWD,0.3972111304070125,0.3462641502098058,0.4180040663746843,0.0,61.0,61.0
19,GPGOMEA,1028_SWD,0.3540402011726724,0.347376822590802,0.4109038073179669,0.0,65.0,65.0
20,GPGOMEA,1028_SWD,0.4002625919466712,0.3577855182543487,0.3851230679058791,0.0,68.0,68.0
21,GPGOMEA,1028_SWD,0.4050225376350699,0.3433972509506074,0.41258724441571,0.0,59.0,59.0
22,GPGOMEA,1028_SWD,0.3466979657899078,0.3502511308060859,0.4155743030337678,0.0,56.0,56.0
23,GPGOMEA,1028_SWD,0.4168059926126786,0.3584034034272529,0.3744996765140212,0.0,70.0,70.0
24,GPGOMEA,1028_SWD,0.4050565839751869,0.3463797922884553,0.4125636349741095,0.0,50.0,50.0
25,GPGOMEA,1028_SWD,0.3601744076367217,0.3481875545251607,0.4070017552157646,0.0,55.0,55.0
26,GPGOMEA,1028_SWD,0.3922923764289703,0.3582838963849538,0.3902411642774416,0.0,59.0,59.0
27,GPGOMEA,1028_SWD,0.3946836200457152,0.3436458457348154,0.4197567689578288,0.0,56.0,56.0
28,GPGOMEA,1028_SWD,0.36585397622064,0.3523873988590627,0.4033889044481283,0.0,68.0,68.0
29,GPGOMEA,1028_SWD,0.3977409885849894,0.360861733045372,0.3867423226157777,0.0,68.0,68.0
0,PySR,1028_SWD,0.4188883434292785,0.3689011798828045,0.4029719985179973,17.986150687798677,41.0,41.0
1,PySR,1028_SWD,0.3822579025794913,0.3810520734250632,0.3929541439443754,18.256611773983554,50.0,50.0
2,PySR,1028_SWD,0.3932702124601539,0.3828966275119512,0.3896132441124136,17.971523070498012,41.0,41.0
3,PySR,1028_SWD,0.4191789408381168,0.3758666239410011,0.4027704836846952,17.871237214877972,36.0,36.0
4,PySR,1028_SWD,0.3697088150095976,0.3824945004351552,0.4009367891030941,18.292578708330883,49.0,49.0
5,PySR,1028_SWD,0.4043987848363587,0.3921990445950543,0.3824669999772545,17.69577578372677,24.0,24.0
6,PySR,1028_SWD,0.4090443895218041,0.3758852638121347,0.4097982903924767,17.96999459224127,22.0,22.0
7,PySR,1028_SWD,0.3897907334030134,0.3815837670924104,0.3881624078783129,18.378689766249,35.0,35.0
8,PySR,1028_SWD,0.3487569595425107,0.3974628680929188,0.4181975550056716,17.46788941876764,30.0,30.0
9,PySR,1028_SWD,0.4059447326811275,0.3656481499078564,0.4119477480701604,18.087720640157915,50.0,50.0
10,PySR,1028_SWD,0.3923688532637662,0.3751564052745978,0.3865224307954842,18.392499008800534,40.0,40.0
11,PySR,1028_SWD,0.3993871058338574,0.380828495618202,0.3856852637821882,18.19485840180782,50.0,50.0
12,PySR,1028_SWD,0.3983984141574584,0.3765539626466417,0.4171807442122129,17.79137237244445,35.0,35.0
13,PySR,1028_SWD,0.3503597615465934,0.3823075915799725,0.413244984985223,18.173170819480262,35.0,35.0
14,PySR,1028_SWD,0.3724712474636047,0.3911140902141897,0.4029693581402812,17.670232285329277,42.0,42.0
15,PySR,1028_SWD,0.3787331132666673,0.3743481967866145,0.4308176511849358,17.78391149894422,39.0,39.0
16,PySR,1028_SWD,0.387679611148767,0.3733042780598394,0.3895053214366463,18.589336664887284,34.0,34.0
17,PySR,1028_SWD,0.3643564476200075,0.3941467679752377,0.4081802997444614,17.671108659313298,25.0,25.0
18,PySR,1028_SWD,0.3909431288507417,0.3720917424616243,0.4223506133511292,18.01753763199633,31.0,31.0
19,PySR,1028_SWD,0.3722777154097323,0.3865517963079849,0.399302676644467,18.332024295230156,28.0,28.0
20,PySR,1028_SWD,0.4009901216547585,0.3919424910406811,0.3846558826521183,17.629973101615946,39.0,39.0
21,PySR,1028_SWD,0.4104359718729212,0.3755816381777748,0.4088332973230875,17.84335472274641,36.0,36.0
22,PySR,1028_SWD,0.3796152950372905,0.3806275196675477,0.3946351425178296,18.35551195083952,30.0,30.0
23,PySR,1028_SWD,0.3703347752300217,0.3871189977097045,0.4043412998101595,17.562086804564352,49.0,49.0
24,PySR,1028_SWD,0.3873645014248096,0.3800711352493133,0.4248322132802879,17.679967890191826,26.0,26.0
25,PySR,1028_SWD,0.3782414360080596,0.3823127609878274,0.3955090729185356,17.980151402821118,42.0,42.0
26,PySR,1028_SWD,0.3935808933587027,0.3866712281071048,0.3894137394972566,17.766832246089777,39.0,39.0
27,PySR,1028_SWD,0.3724492144468234,0.3739980922698274,0.4351752221220956,17.942697475047837,32.0,32.0
28,PySR,1028_SWD,0.3971932591896296,0.3779562421015994,0.3834535606172109,18.292100932916494,49.0,49.0
29,PySR,1028_SWD,0.4082510148758703,0.3867150864479872,0.3799932795936762,17.76209244478267,50.0,50.0
0,neogp,1028_SWD,0.37872392,0.37129724,0.43082345,15.152660059999999,50.0,50.0
1,neogp,1028_SWD,0.4100436,0.3700621,0.40910482,15.108613429999998,47.0,47.0
2,neogp,1028_SWD,0.38696235,0.36506692,0.42511052,15.73039518,43.0,43.0
3,neogp,1028_SWD,0.37994874,0.377798,0.42997408,14.0980067,45.0,45.0
4,neogp,1028_SWD,0.39928168,0.37501118,0.41656765,14.896653520000001,50.0,50.0
5,neogp,1028_SWD,0.41051704,0.37123778,0.4087765,15.161109259999998,50.0,50.0
6,neogp,1028_SWD,0.40678453,0.3710555,0.41136482,13.964384049999998,49.0,49.0
7,neogp,1028_SWD,0.3867749,0.36209553,0.42524046,15.051799290000002,48.0,48.0
8,neogp,1028_SWD,0.3882308,0.36432144,0.4242309,16.086345050000002,50.0,50.0
9,neogp,1028_SWD,0.37957233,0.37387952,0.4302351,10.7848732,41.0,41.0
10,neogp,1028_SWD,0.37171447,0.38951007,0.39966083,14.902246700000003,41.0,41.0
11,neogp,1028_SWD,0.3642727,0.370442,0.40439463,15.441253510000001,46.0,46.0
12,neogp,1028_SWD,0.38280112,0.3851562,0.39260846,15.401537329999998,44.0,44.0
13,neogp,1028_SWD,0.37483406,0.37741378,0.3976764,15.346690169999999,48.0,48.0
14,neogp,1028_SWD,0.37468386,0.37261483,0.39777192,14.09099025,49.0,49.0
15,neogp,1028_SWD,0.3680039,0.37712005,0.40202117,14.443946579999999,50.0,50.0
16,neogp,1028_SWD,0.36476243,0.3744595,0.40408233,15.536049340000002,46.0,46.0
17,neogp,1028_SWD,0.37806678,0.3881469,0.39562002,13.930975899999998,49.0,49.0
18,neogp,1028_SWD,0.36611253,0.3690529,0.40322426,14.21534824,49.0,49.0
19,neogp,1028_SWD,0.36520636,0.3737131,0.40380073,13.773566789999999,45.0,45.0
20,neogp,1028_SWD,0.3749197,0.39013252,0.40139556,14.97297683,47.0,47.0
21,neogp,1028_SWD,0.38386297,0.38723642,0.39565262,13.199486629999999,45.0,45.0
22,neogp,1028_SWD,0.41258532,0.37815467,0.37720856,15.0387955,49.0,49.0
23,neogp,1028_SWD,0.41239804,0.38156006,0.3773289,14.51561784,48.0,48.0
24,neogp,1028_SWD,0.40204734,0.37758848,0.38397554,14.436575939999999,41.0,41.0
25,neogp,1028_SWD,0.41147715,0.37880245,0.3779202,15.72874881,48.0,48.0
26,neogp,1028_SWD,0.39338005,0.39360863,0.38954127,13.01571515,49.0,49.0
27,neogp,1028_SWD,0.4066701,0.38172367,0.38100705,14.475939939999998,43.0,43.0
28,neogp,1028_SWD,0.40912378,0.37696585,0.3794314,14.50712619,46.0,46.0
29,neogp,1028_SWD,0.40376514,0.37957272,0.3828725,15.812735320000002,50.0,50.0
0,random,1028_SWD,0.2614171140845015,0.4580916557061398,0.5121704550979631,12.838002113391298,6.0,6.0
1,random,1028_SWD,0.2712868152454686,0.4419745942223239,0.5053263087852204,13.766544717708854,8.0,8.0
2,random,1028_SWD,0.2897345227635505,0.4792355952505194,0.4925337421888004,10.72518446750403,13.0,13.0
3,random,1028_SWD,0.3167205484324507,0.4811181907366854,0.4738202771035733,14.103153004339047,10.0,10.0
4,random,1028_SWD,0.3124395819930855,0.4440929897036186,0.4767889141669558,13.283463279998067,11.0,11.0
5,random,1028_SWD,0.3464400128592129,0.4138200753299855,0.4532113083459842,13.673180462300389,16.0,16.0
6,random,1028_SWD,0.3019746797160879,0.4373515194959231,0.4840458028167949,14.273845018972176,17.0,17.0
7,random,1028_SWD,0.2852076127742057,0.4394220618461949,0.4956729288578176,13.271768250733471,9.0,9.0
8,random,1028_SWD,0.2745153604816011,0.447446067694721,0.5030874734230326,12.874566686952608,8.0,8.0
9,random,1028_SWD,0.2982566905574763,0.4515360978325343,0.486624043168323,13.624641622727415,6.0,6.0
10,random,1028_SWD,0.3226630715041398,0.4892761377008996,0.4308632259488398,12.787688440253286,11.0,11.0
11,random,1028_SWD,0.2594599050988385,0.4450131880494997,0.4710676190978189,15.637198961619445,9.0,9.0
