run,algorithm,dataset,r2_test,r2_train
1,adam_win_bfn,nasa_battery_1_10min,0.9435185,0.9866547
1,adam_win_bfn,nasa_battery_2_20min,0.96643555,0.9503812
1,adam_win_bfn,nikuradse_1,0.07750219,0.9750273
1,adam_win_bfn,nikuradse_2,0.2681976,0.25636768
1,adam_win_bin,chemical_1_tower,0.6743244,0.64802146
1,adam_win_bin,chemical_2_competition,0.29740232,0.63805866
1,adam_win_bin,flow_stress_phip0.1,0.9712244,0.9693405
1,adam_win_bin,friction_dyn_one-hot,0.7387253,0.8117508
1,adam_win_bin,friction_stat_one-hot,0.24574983,0.35721254
1,adam_win_bin,nasa_battery_1_10min,0.9435185,0.9866547
1,adam_win_bin,nasa_battery_2_20min,0.96643555,0.9503812
1,adam_win_bin,nikuradse_1,0.07750219,0.9750273
1,adam_win_bin,nikuradse_2,0.2681976,0.25636768
1,gaussian_no,chemical_1_tower,0.59551144,0.58299994
1,gaussian_no,chemical_2_competition,0.01363224,0.051819086
1,gaussian_no,flow_stress_phip0.1,0.9765641,0.97347766
1,gaussian_no,friction_dyn_one-hot,0.371755,0.5349496
1,gaussian_no,friction_stat_one-hot,0.3060267,0.42247838
1,gaussian_no,nasa_battery_1_10min,0.91975886,0.9790486
1,gaussian_no,nasa_battery_2_20min,0.92194206,0.91747475
1,gaussian_no,nikuradse_1,0.8572668,0.9637747
1,gaussian_no,nikuradse_2,0.93002003,0.909044
1,gaussian_wfn,chemical_1_tower,0.5008496,0.5112858
1,gaussian_wfn,chemical_2_competition,0.12484181,0.19364917
1,gaussian_wfn,flow_stress_phip0.1,0.97324926,0.9809963
1,gaussian_wfn,friction_dyn_one-hot,0.3371066,0.61689615
1,gaussian_wfn,friction_stat_one-hot,0.12495178,0.23426288
1,gaussian_wfn,nasa_battery_1_10min,0.8757146,0.8283888
1,gaussian_wfn,nasa_battery_2_20min,0.8549097,0.84238714
1,gaussian_wfn,nikuradse_1,0.8540699,0.9634062
1,gaussian_wfn,nikuradse_2,0.9654595,0.9464789
1,gaussian_wfn_bfn,chemical_1_tower,0.5008496,0.5112858
1,gaussian_wfn_bfn,chemical_2_competition,0.12484181,0.19364917
1,gaussian_wfn_bfn,flow_stress_phip0.1,0.97324926,0.9809963
1,gaussian_wfn_bfn,friction_dyn_one-hot,0.3371066,0.61689615
1,gaussian_wfn_bfn,friction_stat_one-hot,0.12495178,0.23426288
1,gaussian_wfn_bfn,nasa_battery_1_10min,0.8757146,0.8283888
1,gaussian_wfn_bfn,nasa_battery_2_20min,0.8549097,0.84238714
1,gaussian_wfn_bfn,nikuradse_1,0.8540699,0.9634062
1,gaussian_wfn_bfn,nikuradse_2,0.9654595,0.9464789
1,gaussian_wfn_bin,chemical_1_tower,0.5008496,0.5112858
1,gaussian_wfn_bin,chemical_2_competition,0.12484181,0.19364917
1,gaussian_wfn_bin,flow_stress_phip0.1,0.97324926,0.9809963
1,gaussian_wfn_bin,friction_dyn_one-hot,0.3371066,0.61689615
1,gaussian_wfn_bin,friction_stat_one-hot,0.12495178,0.23426288
1,gaussian_wfn_bin,nasa_battery_1_10min,0.8757146,0.8283888
1,gaussian_wfn_bin,nasa_battery_2_20min,0.8549097,0.84238714
1,gaussian_wfn_bin,nikuradse_1,0.8540699,0.9634062
1,gaussian_wfn_bin,nikuradse_2,0.9654595,0.9464789
1,gaussian_win,chemical_1_tower,0.802236,0.81696117
1,gaussian_win,chemical_2_competition,0.0989303,0.17725724
1,gaussian_win,flow_stress_phip0.1,0.59117186,0.5962863
1,gaussian_win,friction_dyn_one-hot,-0.06941211,0.5124271
1,gaussian_win,friction_stat_one-hot,0.30549133,0.54837507
1,gaussian_win,nasa_battery_1_10min,0.8277473,0.8121227
1,gaussian_win,nasa_battery_2_20min,-1.0220258,0.09574348
1,gaussian_win,nikuradse_1,0.7023754,0.95985043
1,gaussian_win,nikuradse_2,0.50759673,0.558192
1,gaussian_win_bfn,chemical_1_tower,0.802236,0.81696117
1,gaussian_win_bfn,chemical_2_competition,0.0989303,0.17725724
1,gaussian_win_bfn,flow_stress_phip0.1,0.59117186,0.5962863
1,gaussian_win_bfn,friction_dyn_one-hot,-0.06941211,0.5124271
1,gaussian_win_bfn,friction_stat_one-hot,0.30549133,0.54837507
1,gaussian_win_bfn,nasa_battery_1_10min,0.8277473,0.8121227
1,gaussian_win_bfn,nasa_battery_2_20min,-1.0220258,0.09574348
1,gaussian_win_bfn,nikuradse_1,0.7023754,0.95985043
1,gaussian_win_bfn,nikuradse_2,0.50759673,0.558192
1,gaussian_win_bin,chemical_1_tower,0.802236,0.81696117
1,gaussian_win_bin,chemical_2_competition,0.0989303,0.17725724
1,gaussian_win_bin,flow_stress_phip0.1,0.59117186,0.5962863
1,gaussian_win_bin,friction_dyn_one-hot,-0.06941211,0.5124271
1,gaussian_win_bin,friction_stat_one-hot,0.30549133,0.54837507
1,gaussian_win_bin,nasa_battery_1_10min,0.8277473,0.8121227
1,gaussian_win_bin,nasa_battery_2_20min,-1.0220258,0.09574348
1,gaussian_win_bin,nikuradse_1,0.7023754,0.95985043
1,gaussian_win_bin,nikuradse_2,0.50759673,0.558192
2,adam_wfn,chemical_1_tower,0.82233167,0.83401954
2,adam_wfn,chemical_2_competition,0.139463,0.3540023
2,adam_wfn,flow_stress_phip0.1,0.9897215,0.993201
2,adam_wfn,friction_dyn_one-hot,0.08886874,0.14355105
2,adam_wfn,friction_stat_one-hot,0.6368045,0.7177036
2,adam_wfn,nasa_battery_1_10min,0.8425286,0.93445575
2,adam_wfn,nasa_battery_2_20min,0.86849785,0.8138442
2,adam_wfn,nikuradse_1,0.82208335,0.9648646
2,adam_wfn,nikuradse_2,0.9384991,0.9238131
2,adam_wfn_bfn,chemical_1_tower,0.82233167,0.83401954
2,adam_wfn_bfn,chemical_2_competition,0.139463,0.3540023
2,adam_wfn_bfn,flow_stress_phip0.1,0.9897215,0.993201
2,adam_wfn_bfn,friction_dyn_one-hot,0.08886874,0.14355105
2,adam_wfn_bfn,friction_stat_one-hot,0.6368045,0.7177036
2,adam_wfn_bfn,nasa_battery_1_10min,0.8425286,0.93445575
2,adam_wfn_bfn,nasa_battery_2_20min,0.86849785,0.8138442
2,adam_wfn_bfn,nikuradse_1,0.82208335,0.9648646
2,adam_wfn_bfn,nikuradse_2,0.9384991,0.9238131
2,adam_wfn_bin,chemical_1_tower,0.82233167,0.83401954
2,adam_wfn_bin,chemical_2_competition,0.139463,0.3540023
2,adam_wfn_bin,flow_stress_phip0.1,0.9897215,0.993201
2,adam_wfn_bin,friction_dyn_one-hot,0.08886874,0.14355105
2,adam_wfn_bin,friction_stat_one-hot,0.6368045,0.7177036
2,adam_wfn_bin,nasa_battery_1_10min,0.8425286,0.93445575
2,adam_wfn_bin,nasa_battery_2_20min,0.86849785,0.8138442
2,adam_wfn_bin,nikuradse_1,0.82208335,0.9648646
2,adam_wfn_bin,nikuradse_2,0.9384991,0.9238131
2,adam_win,chemical_1_tower,0.81298304,0.82082736
2,adam_win,chemical_2_competition,0.48426002,0.6421335
2,adam_win,flow_stress_phip0.1,0.02264178,0.020187676
2,adam_win,friction_dyn_one-hot,0.08597153,0.16051531
2,adam_win,friction_stat_one-hot,0.54026645,0.7212845
2,adam_win,nasa_battery_1_10min,0.7302715,0.8512635
2,adam_win,nasa_battery_2_20min,0.98037225,0.9870477
2,adam_win,nikuradse_1,0.8779781,0.97854877
2,adam_win,nikuradse_2,0.4283136,0.20611781
2,adam_win_bfn,chemical_1_tower,0.81298304,0.82082736
2,adam_win_bfn,chemical_2_competition,0.48426002,0.6421335
2,adam_win_bfn,flow_stress_phip0.1,0.02264178,0.020187676
2,adam_win_bfn,friction_dyn_one-hot,0.08597153,0.16051531
2,adam_win_bfn,friction_stat_one-hot,0.54026645,0.7212845
2,adam_win_bfn,nasa_battery_1_10min,0.7302715,0.8512635
2,adam_win_bfn,nasa_battery_2_20min,0.98037225,0.9870477
2,adam_win_bfn,nikuradse_1,0.8779781,0.97854877
2,adam_win_bfn,nikuradse_2,0.4283136,0.20611781
2,adam_win_bin,chemical_1_tower,0.81298304,0.82082736
2,adam_win_bin,chemical_2_competition,0.48426002,0.6421335
2,adam_win_bin,flow_stress_phip0.1,0.02264178,0.020187676
2,adam_win_bin,friction_dyn_one-hot,0.08597153,0.16051531
2,adam_win_bin,friction_stat_one-hot,0.54026645,0.7212845
2,adam_win_bin,nasa_battery_1_10min,0.7302715,0.8512635
2,adam_win_bin,nasa_battery_2_20min,0.98037225,0.9870477
2,adam_win_bin,nikuradse_1,0.8779781,0.97854877
2,adam_win_bin,nikuradse_2,0.4283136,0.20611781
2,gaussian_no,chemical_1_tower,0.5350323,0.528852
2,gaussian_no,chemical_2_competition,0.10954714,0.25007927
2,gaussian_no,flow_stress_phip0.1,0.94357145,0.9434881
2,gaussian_no,friction_dyn_one-hot,-0.03551114,0.50127995
2,gaussian_no,friction_stat_one-hot,-0.4811808,0.37984198
2,gaussian_no,nasa_battery_1_10min,0.8835853,0.95165867
2,gaussian_no,nasa_battery_2_20min,0.9458583,0.9472017
2,gaussian_no,nikuradse_1,0.8545471,0.96398526
2,gaussian_no,nikuradse_2,0.80154,0.81753534
2,gaussian_wfn,chemical_1_tower,0.3684978,0.3628195
2,gaussian_wfn,chemical_2_competition,0.02420318,0.0571236
2,gaussian_wfn,flow_stress_phip0.1,-0.00946927,-0.00017416477
2,gaussian_wfn,friction_dyn_one-hot,-0.21397221,0.46456903
2,gaussian_wfn,friction_stat_one-hot,0.02319497,0.29555488
2,gaussian_wfn,nasa_battery_1_10min,0.3510242,0.9268853
2,gaussian_wfn,nasa_battery_2_20min,0.74992704,0.6651962
2,gaussian_wfn,nikuradse_1,0.84396124,0.96209925
2,gaussian_wfn,nikuradse_2,0.8035073,0.7586269
2,gaussian_wfn_bfn,chemical_1_tower,0.3684978,0.3628195
2,gaussian_wfn_bfn,chemical_2_competition,0.02420318,0.0571236
2,gaussian_wfn_bfn,flow_stress_phip0.1,-0.00946927,-0.00017416477
2,gaussian_wfn_bfn,friction_dyn_one-hot,-0.21397221,0.46456903
2,gaussian_wfn_bfn,friction_stat_one-hot,0.02319497,0.29555488
2,gaussian_wfn_bfn,nasa_battery_1_10min,0.3510242,0.9268853
2,gaussian_wfn_bfn,nasa_battery_2_20min,0.74992704,0.6651962
2,gaussian_wfn_bfn,nikuradse_1,0.84396124,0.96209925
2,gaussian_wfn_bfn,nikuradse_2,0.8035073,0.7586269
2,gaussian_wfn_bin,chemical_1_tower,0.3684978,0.3628195
2,gaussian_wfn_bin,chemical_2_competition,0.02420318,0.0571236
2,gaussian_wfn_bin,flow_stress_phip0.1,-0.00946927,-0.00017416477
2,gaussian_wfn_bin,friction_dyn_one-hot,-0.21397221,0.46456903
2,gaussian_wfn_bin,friction_stat_one-hot,0.02319497,0.29555488
2,gaussian_wfn_bin,nasa_battery_1_10min,0.3510242,0.9268853
2,gaussian_wfn_bin,nasa_battery_2_20min,0.74992704,0.6651962
2,gaussian_wfn_bin,nikuradse_1,0.84396124,0.96209925
2,gaussian_wfn_bin,nikuradse_2,0.8035073,0.7586269
2,gaussian_win,chemical_1_tower,0.48063058,0.47275043
2,gaussian_win,chemical_2_competition,0.03747976,0.078716576
2,gaussian_win,flow_stress_phip0.1,0.9057571,0.90767753
2,gaussian_win,friction_dyn_one-hot,-0.12458241,0.4355095
2,gaussian_win,friction_stat_one-hot,0.07852954,0.47345912
2,gaussian_win,nasa_battery_1_10min,0.8381643,0.8930061
2,gaussian_win,nasa_battery_2_20min,0.94632363,0.9395712
2,gaussian_win,nikuradse_1,0.8504397,0.9649109
2,gaussian_win,nikuradse_2,0.8273374,0.8586259
2,gaussian_win_bfn,chemical_1_tower,0.48063058,0.47275043
2,gaussian_win_bfn,chemical_2_competition,0.03747976,0.078716576
2,gaussian_win_bfn,flow_stress_phip0.1,0.9057571,0.90767753
2,gaussian_win_bfn,friction_dyn_one-hot,-0.12458241,0.4355095
2,gaussian_win_bfn,friction_stat_one-hot,0.07852954,0.47345912
2,gaussian_win_bfn,nasa_battery_1_10min,0.8381643,0.8930061
2,gaussian_win_bfn,nasa_battery_2_20min,0.94632363,0.9395712
2,gaussian_win_bfn,nikuradse_1,0.8504397,0.9649109
2,gaussian_win_bfn,nikuradse_2,0.8273374,0.8586259
2,gaussian_win_bin,chemical_1_tower,0.48063058,0.47275043
2,gaussian_win_bin,chemical_2_competition,0.03747976,0.078716576
2,gaussian_win_bin,flow_stress_phip0.1,0.9057571,0.90767753
2,gaussian_win_bin,friction_dyn_one-hot,-0.12458241,0.4355095
2,gaussian_win_bin,friction_stat_one-hot,0.07852954,0.47345912
2,gaussian_win_bin,nasa_battery_1_10min,0.8381643,0.8930061
2,gaussian_win_bin,nasa_battery_2_20min,0.94632363,0.9395712
2,gaussian_win_bin,nikuradse_1,0.8504397,0.9649109
2,gaussian_win_bin,nikuradse_2,0.8273374,0.8586259
3,adam_wfn,chemical_1_tower,0.44245577,0.37842
3,adam_wfn,chemical_2_competition,0.07739073,0.30053288
3,adam_wfn,flow_stress_phip0.1,0.98415655,0.98489046
3,adam_wfn,friction_dyn_one-hot,-0.00833333,0.49910063
3,adam_wfn,friction_stat_one-hot,0.5339741,0.7186994
3,adam_wfn,nasa_battery_1_10min,0.9434467,0.7377118
3,adam_wfn,nasa_battery_2_20min,0.9610926,0.94342875
3,adam_wfn,nikuradse_1,0.71494675,0.9616461
3,adam_wfn,nikuradse_2,0.47947365,0.5142252
3,adam_wfn_bfn,chemical_1_tower,0.44245577,0.37842
3,adam_wfn_bfn,chemical_2_competition,0.07739073,0.30053288
3,adam_wfn_bfn,flow_stress_phip0.1,0.98415655,0.98489046
3,adam_wfn_bfn,friction_dyn_one-hot,-0.00833333,0.49910063
3,adam_wfn_bfn,friction_stat_one-hot,0.5339741,0.7186994
3,adam_wfn_bfn,nasa_battery_1_10min,0.9434467,0.7377118
3,adam_wfn_bfn,nasa_battery_2_20min,0.9610926,0.94342875
3,adam_wfn_bfn,nikuradse_1,0.71494675,0.9616461
3,adam_wfn_bfn,nikuradse_2,0.47947365,0.5142252
3,adam_wfn_bin,chemical_1_tower,0.44245577,0.37842
3,adam_wfn_bin,chemical_2_competition,0.07739073,0.30053288
3,adam_wfn_bin,flow_stress_phip0.1,0.98415655,0.98489046
3,adam_wfn_bin,friction_dyn_one-hot,-0.00833333,0.49910063
3,adam_wfn_bin,friction_stat_one-hot,0.5339741,0.7186994
3,adam_wfn_bin,nasa_battery_1_10min,0.9434467,0.7377118
3,adam_wfn_bin,nasa_battery_2_20min,0.9610926,0.94342875
3,adam_wfn_bin,nikuradse_1,0.71494675,0.9616461
3,adam_wfn_bin,nikuradse_2,0.47947365,0.5142252
3,adam_win,chemical_1_tower,0.81160706,0.82519144
3,adam_win,chemical_2_competition,0.25877833,0.21705496
3,adam_win,flow_stress_phip0.1,0.8684321,0.8878038
3,adam_win,friction_dyn_one-hot,0.5201111,0.71508604
3,adam_win,friction_stat_one-hot,0.14649254,0.64901245
3,adam_win,nasa_battery_1_10min,0.32043612,0.9419404
3,adam_win,nasa_battery_2_20min,0.5425607,0.49322855
3,adam_win,nikuradse_1,0.8574409,0.96304923
3,adam_win,nikuradse_2,-0.00739169,0.010357559
3,adam_win_bfn,chemical_1_tower,0.81160706,0.82519144
3,adam_win_bfn,chemical_2_competition,0.25877833,0.21705496
3,adam_win_bfn,flow_stress_phip0.1,0.8684321,0.8878038
3,adam_win_bfn,friction_dyn_one-hot,0.5201111,0.71508604
3,adam_win_bfn,friction_stat_one-hot,0.14649254,0.64901245
3,adam_win_bfn,nasa_battery_1_10min,0.32043612,0.9419404
3,adam_win_bfn,nasa_battery_2_20min,0.5425607,0.49322855
3,adam_win_bfn,nikuradse_1,0.8574409,0.96304923
3,adam_win_bfn,nikuradse_2,-0.00739169,0.010357559
3,adam_win_bin,chemical_1_tower,0.81160706,0.82519144
3,adam_win_bin,chemical_2_competition,0.25877833,0.21705496
3,adam_win_bin,flow_stress_phip0.1,0.8684321,0.8878038
3,adam_win_bin,friction_dyn_one-hot,0.5201111,0.71508604
3,adam_win_bin,friction_stat_one-hot,0.14649254,0.64901245
3,adam_win_bin,nasa_battery_1_10min,0.32043612,0.9419404
3,adam_win_bin,nasa_battery_2_20min,0.5425607,0.49322855
3,adam_win_bin,nikuradse_1,0.8574409,0.96304923
3,adam_win_bin,nikuradse_2,-0.00739169,0.010357559
3,gaussian_no,chemical_1_tower,0.58323354,0.53788626
3,gaussian_no,chemical_2_competition,0.04891479,0.11939067
3,gaussian_no,flow_stress_phip0.1,0.99171776,0.9935498
3,gaussian_no,friction_dyn_one-hot,0.6293347,0.7569101
3,gaussian_no,friction_stat_one-hot,0.17090398,0.55570185
3,gaussian_no,nasa_battery_1_10min,0.9397971,0.97791344
3,gaussian_no,nasa_battery_2_20min,0.900457,0.89826846
3,gaussian_no,nikuradse_1,0.81686383,0.9644174
3,gaussian_no,nikuradse_2,0.82106626,0.8227469
3,gaussian_wfn,chemical_1_tower,0.50009286,0.4561336
3,gaussian_wfn,chemical_2_competition,-0.0274502,0.14097875
3,gaussian_wfn,flow_stress_phip0.1,0.8415814,0.8545089
3,gaussian_wfn,friction_dyn_one-hot,-1.0341897,0.6210413
