environment_key,environment,model,weighting,seed,reward,train_mse,test_mse,reward_corrected
inverted_pendulum,Inverted pendulum,32×32 ANN,Q-DAgger,2,112.5999984741211,0.00588215934112668,0.0060217962600290775,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Uniform,3,738.2000122070312,0.0002761637733783573,0.0003375292872078717,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Q-DAgger,3,323.1000061035156,0.006440469529479742,0.010822595097124577,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Uniform,4,43.10000228881836,0.0001689228811301291,0.00024414065410383046,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Q-DAgger,4,55.79999923706055,0.006288658827543259,0.01613459177315235,False
inverted_pendulum,Inverted pendulum,Operon,Uniform,0,891.0,,0.0027627788949757814,False
inverted_pendulum,Inverted pendulum,Operon,Q-DAgger,0,1000.0,,0.03964782506227493,False
inverted_pendulum,Inverted pendulum,Operon,Uniform,1,1000.0,,0.00283576687797904,False
inverted_pendulum,Inverted pendulum,Operon,Q-DAgger,1,1000.0,,0.005423403810709715,False
inverted_pendulum,Inverted pendulum,Operon,Uniform,2,717.5,,0.0014056742656975985,False
inverted_pendulum,Inverted pendulum,Operon,Q-DAgger,2,1000.0,,0.0052640680223703384,False
inverted_pendulum,Inverted pendulum,Operon,Uniform,3,1000.0,,0.002633176976814866,False
inverted_pendulum,Inverted pendulum,Operon,Q-DAgger,3,1000.0,,0.010337933897972107,False
inverted_pendulum,Inverted pendulum,Operon,Uniform,4,1000.0,,0.002679434372112155,False
inverted_pendulum,Inverted pendulum,Operon,Q-DAgger,4,1000.0,,0.01164237316697836,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Uniform,0,1000.0,0.0007767830393277109,0.0009077181457541883,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Uniform,1,1000.0,0.0008590244688093662,0.000988256186246872,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Uniform,2,613.7999877929688,0.0006804657750762999,0.0007512413430958986,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Uniform,3,23.30000114440918,0.0008724123472347856,0.0009221103391610086,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Uniform,4,24.899999618530273,0.0007200613617897034,0.0011201425222679973,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Q-DAgger,0,81.5,0.005759860388934612,0.031987544149160385,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Q-DAgger,1,90.20000457763672,0.0067833708599209785,0.014757825993001461,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Q-DAgger,2,30.5,0.005686527583748102,0.007076399400830269,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Q-DAgger,3,250.10000610351562,0.005652581341564655,0.004676470533013344,False
inverted_pendulum,Inverted pendulum,CGP features + LR (k=8),Q-DAgger,4,36.29999923706055,0.005462163593620062,0.019371189177036285,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Uniform,0,347.5858459472656,0.0003091014514211565,0.0005756370374001563,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Uniform,1,9359.1015625,0.0003316477232147008,0.00041276661795563996,False
